"ibge","bairro","altitude","logradouro","longitude","cep","latitude","estado","cidade","ddd"
2616407,"Cajá",148.9,"Rua Doutor José Rufino Bezerra, de 382/383 ao fim",-35.2889982,"55610010",-8.1022874,"PE","Vitória de Santo Antão",81
2504009,"José Pinheiro",522.3,"Rua Fernandes Vieira, de 1/2 ao fim",-35.870251,"58407490",-7.2261188,"PB","Campina Grande",83
2504009,"Três Irmãs",504.9,"Rua Otávio Batista Cabral",-35.9215603,"58423215",-7.2525237,"PB","Campina Grande",83
2504009,"Centro",538.6,"Rua Deputado José Tavares",-35.8786288,"58400187",-7.2181796,"PB","Campina Grande",83
2504009,"Jardim Paulistano",507.3,"Rua Gabriel Chabo",-35.8952592,"58415153",-7.2507437,"PB","Campina Grande",83
2507507,"Cristo Redentor",50.8,"Rua José Francisco da Silva, de 1303/1304 ao fim",-34.8789697,"58071120",-7.1630006,"PB","João Pessoa",83
2501351,"",575.5,"Assunção",-36.7301875,"58685000",-7.0748836,"PB","Assunção",83
2504009,"Conceição",542.3,"Rua Severino Verônica",-35.8869542,"58401314",-7.207473,"PB","Campina Grande",83
2504009,"Conceição",542.3,"Travessa Severino Verônica",-35.8869542,"58401227",-7.207473,"PB","Campina Grande",83
2505279,"",68.5,"Curral de Cima",-35.2675339,"58291000",-6.7160453,"PB","Curral de Cima",NA
2504009,"Centro",522.7,"Rua Doutor Carlos Agra",-35.8770149,"58400204",-7.2199041,"PB","Campina Grande",83
2504009,"Estação Velha",508.2,"Rua Prudente de Morais",-35.8846003,"58410040",-7.2317723,"PB","Campina Grande",83
2513208,"",320,"Santa Cruz",-38.0590076,"58824000",-6.5333011,"PB","Santa Cruz",NA
2412807,"",83.2,"São Rafael",-36.8834071,"59518000",-5.8019756,"RN","São Rafael",84
2604007,"Santo Antônio",186.1,"Avenida Francisco Montenegro",-35.2615367,"55816450",-7.8415862,"PE","Carpina",81
2511608,"",382.2,"Pilões",-35.5986093,"58393000",-6.8887883,"PB","Pilões",83
2504009,"Centro",536.7,"Rua Cristóvão Colombo",-35.8786116,"58400223",-7.2194322,"PB","Campina Grande",83
2504009,"Centro",555.7,"Rua Venâncio Neiva",-35.8845104,"58400090",-7.21816,"PB","Campina Grande",83
2616407,"São Vicente de Paulo",157.2,"Rua Doutor Ivo Queiroz",-35.3012516,"55604270",-8.1232008,"PE","Vitória de Santo Antão",81
2704302,"Prado",10,"Rua Caramurus, até 447/448",-35.7488774,"57010091",-9.6705306,"AL","Maceió",82
2504009,"Nova Brasília",510.1,"Rua Izabel Alexandre Bernadino",-35.8610154,"58406585",-7.2151729,"PB","Campina Grande",83
2504009,"Nova Brasília",510.1,"Rua Isabel Alexandre Bernadino",-35.8610154,"58406840",-7.2151729,"PB","Campina Grande",83
2504074,"",457.5,"Caraúbas",-36.4933187,"58595000",-7.7278521,"PB","Caraúbas",NA
2507507,"Centro",48,"Rua Visconde de Pelotas",-34.8830839,"58013000",-7.1182182,"PB","João Pessoa",83
2614105,"",557.7,"Sertânia",-37.269356,"56600000",-8.0751481,"PE","Sertânia",87
3513801,"Conceição",780,"Rua Noraldino Bispo da Silva (Prq Real)",-46.6397074237,"9992060",-23.7013000034,"SP","Diadema",11
2506400,"",104.6,"Gurinhém",-35.4256996,"58356000",-7.1238242,"PB","Gurinhém",83
2515930,"",134.8,"Sertãozinho",-35.4402885,"58268000",-6.7526051,"PB","Sertãozinho",83
2504900,"",18.3,"Cruz do Espírito Santo",-35.0860365,"58337000",-7.1394306,"PB","Cruz do Espírito Santo",83
2507507,"Torre",40.3,"Avenida Rui Barbosa, até 797/798",-34.8596574,"58040490",-7.1260002,"PB","João Pessoa",83
2510659,"",480.1,"Parari",-36.6556354,"58575000",-7.3179813,"PB","Parari",NA
2515971,"",53,"Sobrado",-35.2360569,"58342000",-7.1446965,"PB","Sobrado",NA
2504009,"Monte Castelo",515.3,"Rua Gonçalves Dias",-35.8660807,"58407060",-7.2212733,"PB","Campina Grande",83
2512200,"",580,"Prata",-37.0831456,"58550000",-7.6937137,"PB","Prata",NA
2507507,"Centro",39.8,"Rua Irineu Pinto",-34.8852783,"58010100",-7.12093,"PB","João Pessoa",83
2503100,"",387.3,"Cabaceiras",-36.2877792,"58480000",-7.4904985,"PB","Cabaceiras",NA
2501807,"Mário Andreazza",52.8,"Rua Chico Mendes",-34.9259437,"58309646",-7.1446652,"PB","Bayeux",83
2504009,"Alto Branco",588.6,"Rua Doutor Vasconcelos, de 991 a 99999 - lado ímpar",-35.8797893,"58401722",-7.203853,"PB","Campina Grande",83
2509339,"",491,"Matinhas",-35.7717742,"58128000",-7.1219756,"PB","Matinhas",NA
2507507,"Centro",43.6,"Avenida Dom Pedro II, até 1238/1239",-34.8450118,"58013420",-7.1194958,"PB","João Pessoa",83
2500775,"Centro",217.1,"AC Aparecida, Rua Antônio Amâncio Pires 201",-38.0835406,"58823970",-6.7864776,"PB","Aparecida",83
