cidade,ano,docfund,docmedio,docpre,escfund,escmedio,escpre,matrifund,matrimedio,matripre
Sossêgo,2015,29,0,7,5,0,4,423,0,100
Sousa,2015,217,0,67,31,0,31,3661,0,1276
Sumé,2015,110,0,14,12,0,9,1844,0,270
Tacima,2015,79,0,17,10,0,11,1039,0,200
Taperoá,2015,72,0,13,17,0,13,1058,0,248
Tavares,2015,116,0,19,10,0,10,1739,0,404
Teixeira,2015,79,0,20,19,0,18,1596,0,331
Tenório,2015,35,0,6,4,0,3,521,0,89
Triunfo,2015,70,0,7,16,0,16,844,0,161
Uiraúna,2015,63,0,11,14,0,16,803,0,205
Umbuzeiro,2015,72,0,12,19,0,19,1128,0,193
Várzea,2015,21,0,4,4,0,4,349,0,57
Vieirópolis,2015,33,0,9,4,0,4,455,0,108
Zabelê,2015,18,0,4,1,0,1,377,0,84
