cd_IBGE,cd_Municipio,de_Municipio,vl_Populacao,vl_IDHM,vl_IDHM_Renda,vl_IDHM_Longevidade,vl_IDHM_Educacao,vl_IDEB_Anos_Finais,vl_Aprendizado_Anos_Finais,pr_Fluxo_Anos_Finais,vl_IDEB_Anos_Iniciais,vl_Aprendizado_Anos_Iniciais,pr_Fluxo_Anos_Iniciais,vl_Docentes_Fundamental,vl_Docentes_Medio,vl_Docentes_Pre_Escolar,vl_Escolas_Fundamental,vl_Escolas_Medio,vl_Escolas_Pre_Escolar,vl_Matriculas_Fundamental,vl_Matriculas_Medio,vl_Matriculas_Pre_Escolar
2511707,145,Pilõezinhos,5099,0.564,0.532,0.802,0.421,3.3,3.81,0.86,3.9,4.32,0.89,38,0,3,10,0,8,666,0,118
2511806,146,Pirpirituba,10570,0.595,0.566,0.745,0.499,2.9,3.8,0.76,0,0,0.9,53,0,8,10,0,9,671,0,160
2511905,147,Pitimbu,18938,0.57,0.538,0.753,0.456,0,0,0.76,3.9,4.33,0.9,118,0,24,18,0,17,2208,0,430
2512002,148,Pocinhos,18451,0.591,0.556,0.779,0.477,3.9,5.05,0.76,4.2,4.94,0.86,135,0,27,23,0,23,2923,0,528
2512036,149,Poço Dantas,3774,0.525,0.506,0.702,0.408,4,5.15,0.77,3.7,4.51,0.82,60,0,7,11,0,11,825,0,152
2512077,150,Poço de José de Moura,4282,0.612,0.578,0.797,0.497,3.5,4.48,0.78,4.1,4.95,0.84,47,0,4,7,0,6,596,0,73
2512101,151,Pombal,32739,0.634,0.629,0.787,0.515,4.5,5.14,0.88,5.7,5.86,0.98,156,0,25,28,0,24,2656,0,538
2512200,152,Prata,4145,0.608,0.566,0.772,0.514,4.5,5.26,0.85,5.4,5.88,0.93,27,0,7,1,0,1,489,0,114
2512309,153,Princesa Isabel,23247,0.606,0.6,0.72,0.514,3.4,4.25,0.79,0,0,0.9,91,0,24,18,0,20,1405,0,459
2512408,154,Puxinanã,13638,0.617,0.574,0.754,0.542,2.8,4.05,0.7,5.1,5.63,0.91,75,0,10,20,0,16,1344,0,293
2512507,155,Queimadas,43945,0.608,0.578,0.796,0.489,3.3,4.5,0.74,4.8,5.27,0.91,257,0,48,57,0,54,4726,0,990
2512606,156,Quixaba,1933,0.622,0.564,0.737,0.579,4.5,4.97,0.91,0,0,0.97,25,0,2,7,0,7,294,0,51
2512705,157,Remígio,19368,0.607,0.592,0.797,0.474,3.1,4.52,0.69,4.5,4.98,0.9,109,0,25,19,0,19,2091,0,427
2512721,140,Pedro Régis,6067,0.542,0.529,0.754,0.399,2.7,4.37,0.63,3.7,4.76,0.78,46,0,8,8,0,8,723,0,150
2512747,158,Riachão,3570,0.574,0.515,0.763,0.481,3.2,4.23,0.75,4.5,4.77,0.94,38,0,8,6,0,9,535,0,126
2512754,159,Riachão do Bacamarte,4503,0.553,0.561,0.721,0.417,3.5,4.01,0.88,4.3,4.48,0.96,46,0,5,8,0,6,557,0,94
2512762,160,Riachão do Poço,4481,0.555,0.537,0.748,0.426,3.6,4.42,0.81,4.6,5.31,0.87,42,0,5,7,0,7,818,0,129
2512788,161,Riacho de Santo Antônio,1955,0.594,0.569,0.735,0.502,0,0,0.73,4.4,4.97,0.89,23,0,7,4,0,3,373,0,80
2512804,162,Riacho dos Cavalos,8587,0.568,0.546,0.752,0.447,3.7,4.75,0.79,4.7,6.06,0.78,54,0,5,19,0,17,847,0,197
2512903,163,Rio Tinto,24090,0.585,0.562,0.742,0.48,3.1,4.32,0.72,4.1,4.94,0.83,132,0,45,23,0,25,2387,0,528
2513000,164,Salgadinho,3927,0.563,0.531,0.739,0.454,3.7,4.62,0.81,4.1,4.94,0.83,38,0,6,6,0,5,540,0,92
2513109,165,Salgado de São Félix,12145,0.568,0.531,0.77,0.448,3,4.21,0.71,3.3,3.93,0.85,85,0,28,17,0,17,1180,0,240
2513158,166,Santa Cecília,6570,0.525,0.515,0.699,0.402,3.3,4.21,0.79,4.4,5.15,0.86,69,0,5,19,0,19,1255,0,180
2513208,167,Santa Cruz,6582,0.618,0.578,0.779,0.523,3.6,4.79,0.75,5.5,5.87,0.93,29,0,11,4,0,4,457,0,177
2513307,168,Santa Helena,5902,0.609,0.57,0.786,0.504,4.5,4.93,0.92,5.4,5.72,0.94,43,0,11,8,0,9,582,0,162
2513356,169,Santa Inês,3595,0.572,0.54,0.706,0.492,0,0,0.94,4.9,5.03,0.97,38,0,16,15,0,14,455,0,76
2513406,170,Santa Luzia,15341,0.682,0.62,0.804,0.635,4.1,4.5,0.9,5.3,5.57,0.95,53,0,15,8,0,7,894,0,269
2513505,173,Santana de Mangueira,5191,0.535,0.488,0.756,0.414,4.3,4.54,0.94,4.7,4.99,0.93,75,0,21,22,0,17,803,0,111
